District,Block,School_ID,School_Name,Overall_Growth_pct,Boys_Growth_pct,Girls_Growth_pct,C8_Change_pct,C9_Change_pct,C10_Change_pct,C11_Change_pct,C12_Change_pct,Gender_Driver,Class_Driver,Growth_Pattern_Tag,Model_School_Flag
HAMIRPUR (U.P.),RATH,9380504004,PT. DEEN DAYAL UPADHYAY GOVT. MODEL SCH KAITHI,36.63,29.59,45.52,12.0,13.79,-27.45,220.69,100.0,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
SHAHJAHANPUR,TILHAR,9220807002,"Government Higher Secondary School, Sahampur",36.05,20.83,55.26,,67.65,15.38,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
MATHURA,GOVERDHAN,9140303304,PT DEENDAYAL UPADHYAY GOV MODEL INTER COLLEGE PADAL,36.0,38.24,34.15,116.67,55.56,-36.36,150.0,220.0,Balanced,Upper_Class_Growth,Balanced Upper Class Growth,True
MIRZAPUR,RAJGARH,9690604502,GOVT. U.M.V. KHORADEEH,36.0,51.85,23.94,,46.03,25.81,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
VARANASI,CHIRAIGAON,9670709402,GOVT. HIGHSCHOOL BHOHAR,35.85,42.73,28.43,,36.45,35.24,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
MORADABAD,CHAJLET,9042002405,GOVT INTER COLLEGE MANPUR MUJJAFARPUR MORADABAD,35.75,29.17,40.19,,22.22,43.14,16.67,15.62,Girls-Led,Lower_Class_Growth,Girls-Led Lower Class Growth,True
JYOTIBA PHULE NAGAR (AMROHA),HASANPUR,9062407908,RAJKIYA H.S. ALLIPUR KHADAR,35.48,60.53,18.18,,87.18,-1.85,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
GORAKHPUR,GOLA,9580903909,GOVT HIGH SCHOOL GOPALPUR GOLA,35.24,24.53,46.15,,55.56,20.0,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
GHAZIPUR,SAIDPUR,9650705321,GOVT. GIRLS U.M.V. KHANPUR,35.14,16.28,51.52,,63.16,5.56,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
SULTANPUR,JAISINGHPUR,9491206905,Pandit Deen Dayal Upadhyay IC,34.8,21.18,53.17,17.24,-14.29,46.77,93.48,75.93,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
JAUNPUR,RAM PUR,9641910701,GOVT. H.S. KASERU,34.78,26.83,41.18,,32.76,38.24,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
KHERI,KUMBHI-GOLA,9230513702,GOVT HS GANESH PUR,34.62,19.67,55.81,,27.12,44.44,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
SITAPUR,MACHHAREHTA,9240902713,RAJKIYA INTER COLLEGE - MACHREHTA,34.22,39.78,27.85,-57.14,-42.22,31.25,122.81,175.0,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
LUCKNOW,SAROJNI NAGAR,9270707709,RAJKIYA INTER COLLEGE RAHIM NAGAR SAROJNINAGAR,34.2,41.31,27.01,,19.42,12.62,56.07,46.85,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
KANSHIRAM NAGAR,PATIYALI,9721009103,Govt. High School Bahora,34.15,52.78,19.57,,81.25,4.0,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
LALITPUR,JAKHORA,9370307504,GHS DAWNI,34.11,60.34,12.68,,34.29,33.9,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
AZAMGARH,JAHANAGANJ,9612000408,GOVT HSS MITTUPUR,33.87,65.85,18.07,,71.15,6.94,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
LUCKNOW,GOSHAI GANJ,9270603703,RAJKIYE HS DHAURAHRA,33.81,29.85,37.5,,61.54,9.46,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
RAE BARELI,GAURA,9281002306,"GOVT. HIGHER SECONDARY SCHOOL, JALAL PUR DHAI",33.66,16.88,87.5,,-3.33,87.8,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
VARANASI,ARAJILINES,9670517403,GOVT. HIGHSCHOOL BARHAINIKALA,33.33,23.4,44.19,,94.29,-5.45,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
RAE BARELI,DALMAU,9281905005,PT DEEN DAYAL UPADHYAY MODEL INTER COLLEGE,33.15,41.25,26.53,44.44,34.04,-19.18,462.5,34.78,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
HAMIRPUR (U.P.),MUSKARA,9380400416,GIC MUSKARA,33.07,30.86,35.65,120.0,25.14,26.28,64.41,10.17,Balanced,All_Round_Growth,Balanced All Round Growth,True
VARANASI,ARAJILINES,9670511402,GOVT. HIGHSCHOOL BHIKHARIPUR,32.97,52.38,16.33,,65.91,2.13,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
FATEHPUR,BHITAURA,9420605504,Pt Deendayal Upadhyay Govt Model Inter College Latifpur,32.76,56.88,11.38,,37.31,50.68,-30.77,72.5,Boys-Led,Lower_Class_Growth,Boys-Led Lower Class Growth,True
SITAPUR,REUSA,9241700119,GOVT. Higher Secondary School THANGAON,32.59,20.55,46.77,,56.9,14.29,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
MIRZAPUR,MAJHAWA,9691005604,GOVT. HIGH SCHOOL AAHEE,32.52,44.59,22.47,,38.55,26.25,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
RAE BARELI,RAHI,9280100806,GOVT. HIGH SCHOOL BELA BHELA,32.43,40.38,25.42,,26.23,40.0,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
SITAPUR,SIDHAULI,9241911203,GOVT.HIGHER SECONDARY SCHOOL SARAURA,32.16,14.77,50.6,,31.03,33.33,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
MAHARAJGANJ,GHUGHLI,9570205703,GOVT HIGH SCHOOL VISHWANATHPUR GHUGHALI MAHARAJGANJ,31.68,5.66,60.42,,13.11,60.0,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
MIRZAPUR,SEEKHAR,9690101005,GOVT. HIGH SCHOOL ADALPURA,31.62,45.45,23.29,,41.94,20.0,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
BALRAMPUR,SHRIDUTTGANJ,9521601002,GOVT. INTER COLLEGE DARICHAURA,31.38,15.27,44.65,,-3.06,21.62,9.68,41.07,Girls-Led,Lower_Class_Growth,Girls-Led Lower Class Growth,True
BUDAUN,AASAFPUR,9191505203,"GOVT. HS SCHOOL,KORERA",31.25,88.0,5.45,,44.19,16.22,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
AGRA,BAROLI AHEER,9150405004,PT.DEENDAYAL UPADHYAY GOVT. I.C BIJHAMAI,31.06,2.9,61.9,10.34,11.63,67.86,0.0,116.67,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
MORADABAD,DILARI,9040606625,Pt Deendayal Upadhyay Govt Model Inter College Jatpura,30.87,15.48,50.77,130.77,41.94,-15.52,71.43,38.46,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
BAHRAICH,MIHIN PURVA,9501108016,R H S CHALWA,30.63,51.22,18.57,,-6.15,82.61,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
BULANDSHAHR,BULANDSHAHR,9110109402,RAJKIYA INTER COLLEGE KHETALPUR BHASAULI,30.63,76.32,6.85,,25.0,16.67,58.82,37.5,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
MIRZAPUR,KONE,9690703307,GOVT. HIGH SCHOOL TILTHI,30.51,11.58,108.7,,40.0,18.87,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
ALIGARH,CHANDAUS,9120703804,Pt Deendayal Upadhyay Govt Model Inter College,30.15,28.89,31.19,60.61,-15.79,-17.86,200.0,175.0,Balanced,Upper_Class_Growth,Balanced Upper Class Growth,True
SHAHJAHANPUR,BHAWALKHERA,9221306403,GOVT. INTER COLLAGE,30.09,24.86,36.62,276.19,-2.04,-36.04,56.14,150.0,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
BANDA,BISANDA,9400604707,GOVT. HIGH SCHOOL RANIPUR,29.76,38.46,22.22,,77.78,-6.25,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
AMBEDKAR NAGAR,KATEHARI,9480501904,PT DEENDAYAL UPADHYAY GOVT MODAL IC PAHITIPUR KHAJOORDEEH AMBEDKAR NAGAR,29.48,1.48,62.07,-100.0,83.78,-17.57,16.07,61.54,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
JHANSI,MOTH,9360708404,PT DEEN DAYAL UPADDHYAY GOVT MODEL INTER COLLEGE KUMHRAR MOTH JHANSI,29.41,25.35,38.71,133.33,16.67,16.67,78.95,9.38,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
HAMIRPUR (U.P.),MUSKARA,9380400112,PT DEENDYAL UPADHAYA GOVT MODEL INTER COLLEGE IMALIYA,29.21,44.35,17.07,175.86,50.78,4.32,40.48,-5.26,Boys-Led,Lower_Class_Growth,Boys-Led Lower Class Growth,True
GAUTAM BUDDHA NAGAR,DADRI,9100203403,RAJKIYA GHS SHADIPUR CHHIDOULI,29.07,11.32,57.58,,10.0,55.56,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
HARDOI,BHARKHANI,9251200121,R.U.M.V.BHARKHANI,29.07,65.52,10.53,,16.67,44.74,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
SHAHJAHANPUR,KANTH,9221103207,RAJKIYE UCHCHYTER MADHYMIK VIDHAYLAY JAMUNI DAULAT PUR,28.89,43.66,12.5,,55.22,2.94,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
FATEHPUR,ASHOTHAR,9420903008,RAJKIYE U M V KORRA KANAK,28.75,62.07,9.8,,133.33,-24.53,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
JAUNPUR,BARSATHI,9641122501,GOVT. H.S.. BABURI GAWAN,28.75,44.74,14.29,,16.33,48.39,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
DEORIA,DEORIA NAGAR KSHETRA,9601502902,GOVERMENT INTER COLLEGE DEORIA,28.5,9.41,88.19,29.68,8.02,10.0,41.69,70.98,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
PILIBHIT,LALORIKHERA,9210504211,PANDIT DEEN DAYAL UPADHYAY GOVERNMENT MODEL INTER COLLEGE KHAMARIA PUL LALORIKHER PILIBHIT,28.45,6.93,59.71,100.0,3.67,14.71,55.74,56.9,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
KANSHIRAM NAGAR,GANJ DUNDWARA,9720407303,Pt Deendayal Upadhyay Govt Model Inter College Labhed,28.45,23.35,40.28,173.08,-33.33,-50.0,883.33,93.02,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
PILIBHIT,BISALPUR,9210301503,"GOVERNMENT  HIGH SCHOOL, LUHICHA BISALPUR",28.41,27.69,30.43,,-2.27,59.09,,,Balanced,All_Round_Growth,Balanced All Round Growth,True
SITAPUR,PAHALA,9241300117,Pt Deen Dayal Upadhyay Rajkiya Model Inter College Akbapur,28.2,7.61,67.12,100.0,31.0,-33.52,288.57,18.75,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
RAE BARELI,HARCHANDPUR,9280301504,G.G.H. SCHOOL BALA,28.17,51.61,21.62,,20.0,37.31,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
SITAPUR,MISRIKH,9241202303,RAJKIYA BALIKA UCCHTAR MADHYAMIK SCH. BADHAIYA,28.09,17.5,36.73,,12.24,47.5,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
BANDA,BISANDA,9400602708,GOVT HIGH SCHOOL BALLAN,27.71,76.92,5.26,,35.0,20.93,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
PILIBHIT,BARKHERA,9210203203,PANDIT DEEN DAYAL UPADHYAY GOVERNMENT MODEL INTER COLLEGE RAMNAGAR JAGAT BARKHERA PILIBIHT,27.71,29.93,25.0,-100.0,25.0,-2.91,87.8,73.68,Balanced,Upper_Class_Growth,Balanced Upper Class Growth,True
BAREILLY,RAMNAGAR,9200104907,PT DEENDYAL UPADHYAY RAJKIYA MODEL INTER COLLEGE HARDASPUR RAMNAGAR AONLA BAREILLY,27.56,20.0,34.97,16.67,14.86,-7.45,195.83,44.19,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
CHITRAKOOT,CHITRAKOOT,9410104506,G.I.C. GHURETANPUR,27.14,25.32,28.85,66.67,-6.67,28.67,44.78,100.0,Balanced,Upper_Class_Growth,Balanced Upper Class Growth,True
HAMIRPUR (U.P.),KURARA,9380108620,GIC KURARA,26.96,24.37,30.45,11.11,30.77,39.64,-12.16,69.57,Girls-Led,Lower_Class_Growth,Girls-Led Lower Class Growth,True
PRAYAGRAJ,MEJA,9450504705,RAJKIYA U.M.V. PIPRANWA,26.83,54.55,8.16,,20.0,31.91,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
CHITRAKOOT,MAU,9410300503,GOVT. HIGH SCHOOL MANDAUR,26.72,19.3,33.9,,200.0,-31.03,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
MATHURA,MATHURA,9140109105,GOVT HIGH SCHOOL BHAINSA,26.58,26.32,26.83,,13.33,44.12,,,Balanced,All_Round_Growth,Balanced All Round Growth,True
SAMBHAL (BHIM NAGAR),JUNAVAI,9680700305,Pt deendayal govt ic nadrauli,26.51,24.64,29.87,42.11,17.19,-13.04,34.62,166.67,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
FIROZABAD,NARKHI,9161200106,GOVT. HIGH SCHOOL NARKHI 1396,26.44,19.51,32.61,,75.0,-7.84,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
ALIGARH,IGLAS,9121207805,GOVT. HIGH SCHOOL JAWAR,26.09,17.54,34.48,,-5.26,87.18,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
KHERI,RAMIYA BEHAR,9231307002,GOVT HS PRATAP PUR,26.06,8.7,58.0,,91.03,-53.12,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
BANDA,NARAINI,9400407204,G.I.C. KALINGER,26.06,15.17,41.7,128.0,4.7,43.15,12.58,45.19,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
GONDA,PARASPUR,9530601106,G.H.S. TYORASI,25.4,20.34,29.85,,14.06,37.1,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
SIDDHARTHNAGAR,NAUGARH,9541204303,RAJKEEY INTER COLLEGE NAUGARH,25.23,7.87,42.92,-8.99,2.97,24.58,81.03,59.68,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
SONBHADRA,DUDHI,9700201908,Govt. H.S.S. DIGHUL,25.19,13.33,34.67,,12.0,41.67,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
GONDA,PANDRI KRIPAL,9530701803,G.H.S. SISAI TIKARIYA,25.0,4.0,44.44,,84.21,-9.09,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
LUCKNOW,MOHAN LAL GANJ,9270508903,RAJKIYA HIGH SCHOOL PAREHTA,24.87,6.25,44.09,,60.0,4.2,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
BUDAUN,QADARCHOWK,9190104602,"GOVT. INTER COLLEGE,NIZAMPUR",24.76,12.99,58.75,152.0,-14.29,6.45,28.3,63.27,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
RAE BARELI,KHIRON,9280801003,"GOVT. GIRLS INTER COLLAGE, KHIRON",24.38,50.0,10.58,,15.09,19.23,72.0,10.0,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
GAUTAM BUDDHA NAGAR,DANKAUR,9100309607,GOVT HIGHER SEC. SCH. SALEMPUR GURJAR,24.29,15.28,33.82,,64.38,-19.4,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
SONBHADRA,DUDHI,9700206506,Govt. H.S.S. MEDNIKHAN,24.19,12.22,35.42,,-19.38,122.81,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
SHAMLI (PRABUDH NAGAR),KAIRANA,9740802211,RAJKIY INTER CO KURGAN,23.76,44.0,3.92,,94.12,-36.96,62.5,30.77,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
KAUSHAMBI,MURATGANJ,9440602503,RAJKIYA HIGH SCHOOL RASOOLPUR BADLEY,23.76,10.91,39.13,,65.91,-8.77,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
HAMIRPUR (U.P.),SUMERPUR,9380207514,GOVT. HIGH SCHOOL KUCHHECHHA,23.31,15.17,31.13,,43.54,3.36,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
AMBEDKAR NAGAR,KATEHARI,9480508707,RAJKEY HIGHSCHOOL ASHRAFPUR BARAWAN,23.21,8.93,37.5,,54.72,-5.08,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
BANDA,MAHUWA,9400301707,GIVT. INTER COLLEGE BILGAW,22.97,21.81,24.55,87.18,12.74,10.0,43.96,12.09,Balanced,All_Round_Growth,Balanced All Round Growth,True
SONBHADRA,CHOPAN,9700106103,G. I. C. KON,22.77,8.14,44.08,77.86,-8.33,20.72,30.67,43.36,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
BAREILLY,BHUTA,9200310603,GOVT. HIGH SCHOOL INAYATPUR,22.73,3.95,64.71,,8.06,41.67,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
SAHARANPUR,PUNWARKA,9011005113,GOVT. HIGH SCHOOL SADAK DUDLEE,22.55,55.26,3.12,,26.0,19.23,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
SITAPUR,SIDHAULI,9241907402,RAJKIYA U.M.V JALLABAD,22.43,20.0,25.0,,15.25,31.25,,,Balanced,All_Round_Growth,Balanced All Round Growth,True
VARANASI,CHIRAIGAON,9670700503,GOVT. HIGHSCHOOL CHHAHI,22.29,9.3,34.83,,10.53,36.25,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
JYOTIBA PHULE NAGAR (AMROHA),AMROHA,9061802809,PANDIT DEEN DAYAL UPADHYAY RAJIKYA INTER COLLEGE GAJSTHAL,22.27,12.5,30.43,-5.88,33.33,-9.86,152.63,26.67,Girls-Led,Upper_Class_Growth,Girls-Led Upper Class Growth,True
BHADOI,DEEGH,9710514105,GOVT. HIGH SCHOOL BARIPUR,22.12,3.28,48.84,,20.75,23.53,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
SHAHJAHANPUR,BANDA,9220603906,RAJKIYE UCHCHTAR MADHYMIK VIDHYALAY NAVICHI,22.02,31.03,11.76,,-7.27,51.85,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
KANPUR NAGAR,KALYANPUR,9340301105,GOVT HIGH SCHOOL BAIKUNTHPUR,21.85,22.08,21.62,,32.39,12.5,,,Balanced,All_Round_Growth,Balanced All Round Growth,True
KHERI,ISANAGAR,9230402403,GOVT.H.S. JETHARA,21.7,10.61,40.0,,35.85,7.55,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
FARRUKHABAD,RAJE PUR,9290505705,"Pt Deendayal Upadhyay Govt Model Inter College, Kankapur",21.51,23.17,20.0,-14.29,0.0,-16.67,140.0,135.29,Balanced,Upper_Class_Growth,Balanced Upper Class Growth,True
SHAHJAHANPUR,KHUTAR,9220701807,RAJKIYE UCHTAR MADMAMIK MALIKA,21.01,3.64,35.94,,26.67,15.25,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
HAMIRPUR (U.P.),KURARA,9380104202,GOVT HS BILAUTA,20.95,31.82,13.11,,28.81,10.87,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
SONBHADRA,NAGWA,9700604903,GOVT. HIGH SCHOOL CHICHALIK,20.83,23.26,18.87,,-11.48,77.14,,,Balanced,All_Round_Growth,Balanced All Round Growth,True
BAHRAICH,MIHIN PURVA,9501114002,R.H. SCHOOL RAMPURWA MATEHI,20.48,30.23,13.71,,-12.2,66.67,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
BAHRAICH,KAISER GANJ,9500207202,R H SCHOOL UMARI KAISARGANJ,20.37,29.63,11.11,,15.52,26.0,,,Boys-Led,All_Round_Growth,Boys-Led All Round Growth,True
PRATAPGARH,BABAGANJ,9430206004,Pt Deendayal Upadhyay Govt Model Inter College Mahewa Malkiya Babaganj,20.3,37.5,3.96,-12.9,4.0,-47.47,1766.67,257.14,Boys-Led,Upper_Class_Growth,Boys-Led Upper Class Growth,True
BARABANKI,PURE DALAI,9460704103,RAJKEEY U.M.V PUREDALAI,20.2,10.2,30.0,,71.05,-11.48,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
MORADABAD,BHAGATPUR TANDA,9040209802,GOVT.HIGH SCHOOL SEHAL,20.19,12.96,28.0,,34.0,7.41,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
BHADOI,SURIYAVAN,9710309603,GOVT. HIGH SCHOOL HARIHARPUR,20.16,15.71,25.42,,85.71,-20.0,,,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
AURAIYA,AURAIYA,9320100103,GOVT INTER COLLEGE AYANA  AURAIYA,20.13,13.58,27.94,-22.22,176.0,-36.84,104.76,-39.29,Girls-Led,All_Round_Growth,Girls-Led All Round Growth,True
